Sla.K90;Sla.C14;Swi.K90;Swi.C14;Kma.K90;Kma.C14;Krz.K90;Krz.C14;Rys.K90;Rys.C14;Msc.K90;Msc.C14;Cmi.K90;Cmi.C14;Gwr.K90;Gwr.C14;Gws.K90;Gws.C14
Ligusticum mutellinoides;2452;2400;0;2061;0;0;2122;2122;2345;2500;0;2410;0;2096;0;0;0;0
Lilium martagon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Linum catharticum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Linum perenne subsp. extraaxillare;0;0;0;2061;0;1704;0;0;0;0;0;0;0;0;0;1823;0;0
Listera ovata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lloydia serotina;0;0;1998;2061;0;0;2122;2122;2200;2500;2300;2410;0;2096;1823;1823;1894;0
Lotus corniculatus;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;1700;1823;0;0
Luzula alpinopilosa;0;2452;0;2061;0;0;2122;2116;2503;2500;2410;2410;0;2096;0;0;0;0
Luzula luzulina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luzula luzuloides;0;0;1978;2061;1704;1704;0;0;0;1800;0;0;0;0;1700;1823;0;1825
Luzula multiflora;0;0;0;0;0;1704;0;0;0;0;0;0;2076;0;0;0;0;0
Luzula spicata;0;0;0;0;0;0;0;0;2503;0;2410;2410;0;0;0;0;0;0
Luzula sudetica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luzula sylvatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0;0
Lycopodium annotinum;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;0;0;0
Maianthemum bifolium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Melampyrum pratense;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Melampyrum sylvaticum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mercurialis perennis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Microstylis monophyllos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Minuartia laricifolia subsp. kitaibelii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Minuartia sedoides;0;2423;0;2061;0;1704;2122;2122;2503;2500;2410;2410;0;2096;0;1823;0;1894
Minuartia verna;0;0;0;0;0;0;2122;0;0;0;2410;2410;0;0;0;1823;0;1894
Moehringia muscosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Moehringia trinervia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Moneses uniflora;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0;0
Mycelis muralis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Myosotis alpestris;0;0;0;2061;0;0;2122;2122;2200;2128;2410;2410;0;2096;1823;1823;0;1894
Myosotis sylvatica;0;0;0;0;1704;1704;0;0;0;0;0;0;0;0;0;0;0;0
Nardus stricta ;0;0;0;0;0;0;0;0;0;0;0;2218;0;0;0;0;0;0
Omalotheca hoppeana;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;0;0;0;0
Omalotheca supina;0;2433;0;0;1704;0;2122;0;2503;2500;0;2410;0;2096;0;0;0;0
Omalotheca sylvatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oreochloa disticha;2452;2452;0;2061;0;0;2122;2122;2503;2500;2410;2410;0;2096;1823;0;1894;0
Orthilia secunda;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;1823;0;0;1825
Oxalis acetosella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oxyria digyna;0;0;0;0;0;0;0;0;2345;2335;2410;2410;0;0;0;0;0;0
Oxytropis campestris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0;0
Oxytropis carpatica;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;1823;1823;1894;1894
Oxytropis halleri;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oxytropis pilosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Papaver burseri;2452;0;0;0;0;0;2122;2122;0;0;0;0;0;0;0;0;0;0
Paris quadrifolia;0;0;0;0;1605;1704;0;0;0;0;0;0;0;0;0;0;0;0
Parnassia palustris;0;0;0;2061;1704;1704;2122;0;0;0;0;0;0;2096;1823;1823;1894;1894
Pedicularis hacquetii;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedicularis oederi;2452;2235;0;2061;1704;1704;2122;2122;2345;2500;2410;2410;0;2096;1823;1823;1894;1825
Pedicularis verticillata;0;2297;0;2061;0;1704;0;2122;0;2500;0;2410;0;2096;0;1823;0;1894
Phegopteris connectilis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Phleum alpinum subsp. alpinum;0;0;0;0;1704;0;2092;2116;2503;1725;2410;0;0;0;0;0;0;0
Phleum hirsutum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Phyteuma orbiculare;0;0;0;2061;1704;1704;2122;2122;0;0;0;0;0;2096;1823;1823;0;1894
