Sja.S91;Sja.C14;Haw.S91;Haw.C14;Orn.S91;Orn.C14;Sla.S91;Sla.C14;Nos.S91;Nos.C14;Swi.S91;Swi.C14;Kam.S91;Kam.C14;Kma.S91;Kma.C14;Krz.S91;Krz.C14;Rys.S91;Rys.C14;Cmi.S91;Cmi.C14;Gws.S91;Gws.C14
Hieracium_murorum;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;1704;0;0;0;0;0;0;0;0
Hieracium_nigrescens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Hieracium_pilosella;0;0;0;0;0;0;0;2360;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium_piloselloides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium_prenanthoides;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;1894;0
Hieracium_villosum;0;0;0;0;1867;1867;0;0;1206;1206;2061;2061;0;0;0;1704;2122;0;0;0;0;0;1894;1825
Hieracium_x_brachiatum;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homogyne_alpina;0;0;0;0;0;1867;0;0;0;1206;0;2061;2126;0;0;1704;0;2122;0;2500;0;2096;0;1894
Huperzia_selago;0;0;0;2152;1867;1867;0;2297;0;0;0;2061;0;2126;0;1704;2122;0;0;1990;0;0;1894;1894
Hypericum_maculatum;0;0;0;2152;0;1867;0;0;0;1206;0;0;0;0;0;1704;0;0;0;0;0;0;0;1825
Hypericum_tetrapterum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hypochoeris_uniflora;0;2210;0;0;0;1867;0;1887;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jovibarba_globifera_subsp._globifera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Juncus_trifidus;0;0;0;0;1867;1867;0;2423;0;0;2061;2061;2126;0;0;1704;2122;2116;0;2500;0;0;0;1825
Juniperus_communis;0;0;0;0;0;1867;0;2200;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kernera_saxatilis;0;0;0;0;0;0;0;0;1206;1206;0;0;0;0;0;0;0;0;0;0;0;2096;0;0
Knautia_kitaibelii_____________________________;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Larix_decidua;0;0;0;0;0;0;0;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
