Sla;Kma;Krz;Rys;Msc;Cmi;Gwr;Gws;Haw;Sja;Orn;Nos;Swi;Kam
Omalotheca supina;0;1704;2122;2503;0;0;0;0;0;0;1867;0;2061;0
Omalotheca sylvatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oreochloa disticha;2452;0;2122;2503;2410;0;1823;1894;2152;2210;1867;0;2061;0
Orthilia secunda;0;0;0;0;0;0;1823;0;0;0;0;0;0;0
Oxalis acetosella;0;0;0;0;0;0;0;0;0;0;1867;0;0;0
Oxyria digyna;0;0;2122;2345;2410;0;0;0;0;0;1867;0;0;0
Oxytropis campestris;0;0;0;0;0;0;1823;1894;2110;0;0;0;2061;0
Oxytropis carpatica;0;0;0;0;0;0;1823;1894;0;0;0;0;0;0
Oxytropis halleri;0;0;0;0;0;0;0;1894;2152;0;0;0;0;0
Oxytropis pilosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Papaver burseri;2452;0;2122;2360;0;0;0;1894;0;0;0;0;0;0
Paris quadrifolia;0;1605;0;0;0;0;0;0;0;0;0;0;0;0
Parnassia palustris;0;1704;2122;0;2410;0;1823;1894;2152;0;0;0;0;0
Pedicularis hacquetii;0;0;0;0;0;0;0;1894;0;0;0;0;2061;0
Pedicularis oederi;2452;1704;2122;2345;2410;0;1823;1894;0;2210;0;0;2061;0
Pedicularis verticillata;0;0;0;0;0;0;0;1894;0;2210;0;1206;2061;0
Phegopteris connectilis;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Phleum alpinum subsp. alpinum;0;1704;2092;2503;2410;0;0;0;0;2210;1867;0;2061;0
Phleum hirsutum;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Phyteuma orbiculare;0;1704;2122;0;0;0;1823;1894;0;0;0;0;0;0
Phyteuma spicatum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Picea abies;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pimpinella major;0;0;0;0;0;0;1823;0;2020;0;0;0;0;0
Pimpinella saxifraga;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pinguicula alpina;0;1704;2122;0;0;0;0;0;0;0;0;1206;0;0
Pinus cembra;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pinus mugo;0;0;1987;0;0;1900;0;0;0;0;0;0;1946;2126
Pinus sylvestris;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Plantago atrata;0;0;2122;0;0;0;0;0;0;0;0;0;0;0
Plantago major;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Plantanthera bifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Poa alpina;2452;0;2122;2503;2410;0;0;1894;0;2210;0;0;2061;0
Poa annua;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Poa granitica;0;0;0;2345;0;0;0;0;0;0;0;0;0;0
Poa chaixii;0;0;0;0;0;0;0;1894;0;0;0;1206;0;0
Poa laxa;2452;0;0;2503;0;0;0;0;0;0;1867;0;0;0
Poa nemoralis;0;0;0;0;0;0;0;1894;0;0;0;0;0;0
Polygala amara subsp. brachyptera;0;0;0;0;0;0;0;0;2152;0;0;0;0;0
Polygala vulgaris;0;0;0;0;0;0;0;1894;0;0;0;0;0;0
Polygonum bistorta;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Polygonum viviparum;2452;1704;2122;2503;2410;0;1823;1894;0;0;0;0;0;2126
Polystichum lonchitis;0;0;2022;0;0;0;0;1894;0;0;1867;0;0;0
Potentilla aurea;0;0;2118;2503;2410;0;1823;1894;0;0;1867;0;2061;2126
Potentilla crantzii;0;0;2122;0;2410;0;1823;0;0;0;0;0;0;0
Potentilla erecta;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Potentilla pusilla;0;0;0;0;0;0;0;0;0;0;1867;0;0;0
Potentilla tabernaemontani;0;0;2122;0;0;0;0;0;0;0;0;0;0;0
Prenanthes purpurea;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Primula auricula;0;0;0;0;0;1900;1823;1894;0;0;0;1206;0;0
Primula elatior;0;1704;2122;2503;0;0;0;1894;0;0;0;0;0;0
Primula minima;2452;0;2122;2503;2410;0;0;0;0;0;1867;0;0;2126
Pritzelago alpina;0;0;2122;0;2410;0;0;1894;0;2210;0;0;2061;0
Prunella vulgaris;0;1605;1997;0;0;0;1823;1859;0;0;1867;0;2061;0
Pulmonaria obscura;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pulsatilla alba;2452;0;2122;2503;2410;0;0;0;0;2210;0;0;2061;0
Pulsatilla vernalis;0;0;0;0;2170;0;0;0;0;0;0;0;0;0
Pyrola carpatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pyrola minor;0;0;0;2503;0;0;0;0;0;0;0;0;0;0
Pyrola rotundifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ranunculus acris;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ranunculus alpestris;2452;1704;2122;2503;0;0;0;1894;0;2210;0;0;2061;0
Ranunculus glacialis;2452;0;0;2503;2410;0;0;0;0;2210;0;0;0;2126
Ranunculus oreophilus;0;0;2120;0;0;1980;0;0;2152;0;0;0;0;0
Ranunculus platanifolius;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ranunculus pseudomontanus;2452;1704;0;2345;2410;0;1823;1894;0;2210;0;0;0;0
Ranunculus repens;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ranunculus thora;0;0;0;0;0;0;0;1894;2152;0;1867;0;2061;0
Rhodiola rosea;2452;1704;2122;2503;2410;0;1823;0;0;2210;0;0;0;0
Ribes alpinum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ribes petraeum;0;0;0;0;0;0;0;1894;0;0;0;0;0;0
Rosa pendulina;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rubus caesius;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rubus idaeus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rumex acetosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rumex alpestris;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rumex alpinus;0;0;2122;2503;0;0;0;0;0;0;0;0;0;0
Sagina procumbens;0;0;0;0;0;0;0;0;0;0;1867;0;0;0
Sagina saginoides;0;0;0;0;0;0;0;1894;0;0;0;0;0;0
Salix alpina;0;0;2122;0;0;0;0;1894;2150;0;0;0;2061;0
Salix herbacea;2452;0;2122;2345;2410;0;0;1894;2152;2210;0;0;0;0
Salix myrsinifolia;0;0;2122;0;0;0;1823;1894;0;0;0;0;0;0
Salix reticulata;0;0;2122;0;2410;0;1823;1894;0;0;1867;0;2061;0
Salix retusa;2452;1704;2122;2503;2290;0;0;1894;2152;2210;1867;0;2061;0
Salix silesiaca;0;1704;0;0;0;0;0;0;0;0;1867;0;0;0
Saussurea alpina;0;0;2122;0;0;0;0;1894;0;0;0;0;0;0
Saussurea pygmaea;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saxifraga adscendens;2452;0;2122;0;0;2096;1823;1894;0;2210;0;0;2061;0
Saxifraga aizoides;0;1704;2122;0;2410;0;1823;1894;0;2210;0;0;0;0
Saxifraga androsacea;0;0;2122;2200;2410;0;1823;1894;0;2210;0;0;0;0
