Sla.C14;Kma.C14;Krz.C14;Rys.C14;Msc.C14;Cmi.C14;Gwr.C14;Gws.C14;Haw.C14;Sja.C14;Orn.C14;Nos.C14;Swi.C14;Kam.C14
Hieracium acuminatum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium alpicola;0;0;0;0;0;0;0;1894;0;0;0;0;0;0
Hieracium alpinum;0;0;2116;2500;0;0;1823;1894;0;2210;0;0;0;2126
Hieracium atratum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium aurantiacum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium bifidum;0;0;0;0;0;0;0;1894;0;0;0;1206;0;0
Hieracium bupleuroides;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium caesium;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium caespitosum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium fritzei;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium lactucella;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium murorum;0;1704;0;0;0;0;0;0;0;0;1867;1206;0;0
Hieracium nigrescens;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium pilosella;2360;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium piloselloides;0;0;0;0;0;0;1823;0;0;0;0;0;0;0
Hieracium prenanthoides;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium villosum;0;1704;0;0;0;0;1823;1825;0;0;1867;1206;2061;0
Hieracium x brachiatum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homogyne alpina;0;1704;2122;2500;2410;2096;1823;1894;0;0;1867;1206;2061;0
Huperzia selago;2297;1704;0;1990;2251;0;1823;1894;2152;0;1867;0;2061;2126
Hypericum maculatum;0;1704;0;0;0;0;0;1825;2152;0;1867;1206;0;0
Hypericum tetrapterum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hypochoeris uniflora;1887;0;0;0;0;0;0;0;0;2210;1867;0;0;0
Jovibarba globifera subsp. globifera;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Juncus trifidus;2423;1704;2116;2500;2410;0;1823;1825;0;0;1867;0;2061;0
Juniperus communis;2200;0;0;0;0;0;0;0;0;0;1867;1206;0;0
Kernera saxatilis;0;0;0;0;0;2096;0;0;0;0;0;1206;0;0
Knautia kitaibelii                             ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Larix decidua;2012;0;0;0;0;0;0;0;0;0;0;0;0;0
Laserpitium latifolium;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leontodon incanus;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Leontodon montanus subsp. pseudotaraxaci;0;0;2122;0;2233;2096;0;1825;2152;0;0;1206;2061;0
Leontopodium alpinum;0;1704;0;0;0;0;1823;1825;2152;0;0;1206;0;0
Leucanthemopsis alpina;2452;0;2122;2500;2410;0;0;0;0;0;0;0;0;0
Leucanthemum vulgare;0;0;0;0;0;0;1823;1894;0;0;0;1206;0;0
Leucanthemum waldstenii;0;0;0;0;0;0;1823;0;0;0;0;0;2061;0
Ligusticum mutellina;2415;1704;2122;2155;2410;2096;1823;1825;0;2210;1867;1206;0;0
Ligusticum mutellinoides;2400;0;2122;2500;2410;2096;0;0;2152;0;0;0;2061;2126
Lilium martagon;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Linum catharticum;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Linum perenne subsp. extraaxillare;0;1704;0;0;0;0;1823;0;2152;0;0;0;2061;0
Listera ovata;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Lloydia serotina;0;0;2122;2500;2410;2096;1823;0;2152;2210;0;0;2061;2126
Lotus corniculatus;0;0;0;0;0;0;1823;0;0;0;0;1206;2061;0
Luzula alpinopilosa;2452;0;2116;2500;2410;2096;0;0;0;2210;1867;0;2061;0
Luzula luzulina;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Luzula luzuloides;0;1704;0;1800;0;0;1823;1825;0;0;0;0;2061;0
Luzula multiflora;0;1704;0;0;0;0;0;0;0;0;0;0;0;0
Luzula spicata;0;0;0;0;2410;0;0;0;0;0;0;0;0;2126
Luzula sudetica;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luzula sylvatica;0;0;0;0;0;0;0;0;0;0;1867;1206;0;0
Lycopodium annotinum;0;0;0;0;0;2096;0;0;0;0;0;0;0;0
Maianthemum bifolium;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Melampyrum pratense;0;0;0;0;0;0;0;0;0;0;1867;1206;0;0
Melampyrum sylvaticum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mercurialis perennis;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Microstylis monophyllos;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Minuartia laricifolia subsp. kitaibelii;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Minuartia sedoides;2423;1704;2122;2500;2410;2096;1823;1894;2152;0;0;0;2061;2126
Minuartia verna;0;0;0;0;2410;0;1823;1894;0;0;0;0;0;0
Moehringia muscosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Moehringia trinervia;0;0;0;0;0;0;0;0;0;0;1867;0;0;0
Moneses uniflora;0;0;0;0;0;0;0;0;0;0;1867;0;0;0
Mycelis muralis;0;0;0;0;0;0;0;0;0;0;1867;1206;0;0
Myosotis alpestris;0;0;2122;2128;2410;2096;1823;1894;2152;0;0;0;2061;0
Myosotis sylvatica;0;1704;0;0;0;0;0;0;0;0;0;0;0;0
Nardus stricta ;0;0;0;0;2218;0;0;0;0;0;1867;0;0;0
Omalotheca hoppeana;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Omalotheca supina;2433;0;0;2500;2410;2096;0;0;0;0;0;0;0;0
Omalotheca sylvatica;0;0;0;0;0;0;0;0;0;0;1867;0;0;0
Oreochloa disticha;2452;0;2122;2500;2410;2096;0;0;2152;2210;1867;0;2061;2126
Orthilia secunda;0;0;0;0;0;0;0;1825;0;0;0;0;2061;0
Oxalis acetosella;0;0;0;0;0;0;0;0;0;0;1867;1206;0;0
Oxyria digyna;0;0;0;2335;2410;0;0;0;0;0;0;0;0;2126
Oxytropis campestris;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oxytropis carpatica;0;0;0;0;0;0;1823;1894;0;0;0;0;2061;0
Oxytropis halleri;0;0;0;0;0;0;0;0;0;0;0;0;2061;0
Oxytropis pilosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Papaver burseri;0;0;2122;0;0;0;0;0;0;0;0;0;0;0
Paris quadrifolia;0;1704;0;0;0;0;0;0;0;0;0;0;0;0
Parnassia palustris;0;1704;0;0;0;2096;1823;1894;2152;0;0;0;2061;0
Pedicularis hacquetii;0;0;0;0;0;0;0;0;0;0;0;0;2061;0
Pedicularis oederi;2235;1704;2122;2500;2410;2096;1823;1825;2152;2210;0;0;2061;0
Pedicularis verticillata;2297;1704;2122;2500;2410;2096;1823;1894;2152;0;0;1206;2061;2126
Phegopteris connectilis;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Phleum alpinum subsp. alpinum;0;0;2116;1725;0;0;0;0;0;0;1867;0;0;0
Phleum hirsutum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Phyteuma orbiculare;0;1704;2122;0;0;2096;1823;1894;2152;0;0;1206;2061;0
Phyteuma spicatum;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Picea abies;2240;1704;0;0;0;0;1823;1825;0;0;1867;1206;0;0
Pimpinella major;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Pimpinella saxifraga;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Pinguicula alpina;0;1704;0;0;0;2096;1823;1825;2152;0;0;1206;0;0
Pinus cembra;1880;0;0;0;0;0;0;0;0;0;0;0;0;0
Pinus mugo;2240;1704;0;1725;0;2096;1823;1894;0;0;1867;0;2061;0
Pinus sylvestris;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Plantago atrata;0;0;2116;0;0;2096;0;0;0;0;0;0;0;0
Plantago major;0;0;0;0;0;2096;0;1894;0;0;1867;1206;0;0
Plantanthera bifolia;0;0;0;0;0;0;1823;0;0;0;0;0;0;0
Poa alpina;2452;1704;2122;2500;2410;2096;1823;1894;2152;2210;1867;1206;2061;2126
Poa annua;0;0;0;0;0;0;0;1894;0;0;1867;1206;0;0
Poa granitica;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Poa chaixii;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Poa laxa;2452;0;0;2500;2410;0;0;0;0;0;0;0;0;2126
Poa nemoralis;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Polygala amara subsp. brachyptera;0;1704;2122;0;0;0;0;0;2152;0;0;1206;2061;0
Polygala vulgaris;0;0;0;0;0;0;1823;1825;0;0;0;0;0;0
Polygonum bistorta;0;0;0;0;0;0;0;0;0;0;1867;0;0;0
Polygonum viviparum;2238;1704;2122;2500;2410;0;1823;1894;2152;0;0;1206;2061;2126
Polystichum lonchitis;0;0;2122;0;0;2096;1823;0;0;0;0;0;0;0
Potentilla aurea;2145;1704;2122;2500;2251;2096;1823;1825;0;0;1867;0;2061;0
Potentilla crantzii;0;0;2122;0;2251;2096;1823;1825;2152;0;0;0;2061;0
Potentilla erecta;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Potentilla pusilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Potentilla tabernaemontani;0;0;2107;0;0;0;0;0;0;0;0;0;0;2126
Prenanthes purpurea;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Primula auricula;0;1704;0;0;0;0;1823;1825;2152;0;0;1206;2061;0
Primula elatior;0;0;2122;0;0;2096;1823;0;0;0;0;1206;2061;0
Primula minima;2452;1704;0;2500;2410;2096;0;1825;2152;0;0;0;2061;0
Pritzelago alpina;0;0;2122;0;2286;0;1823;0;0;0;0;0;2061;0
Prunella vulgaris;0;1704;0;0;0;0;1823;1825;0;0;1867;1206;2061;0
Pulmonaria obscura;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Pulsatilla alba;2360;1704;2122;0;2410;2096;1823;0;2152;2210;1867;0;2061;2126
Pulsatilla vernalis;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pyrola carpatica;0;0;0;0;0;0;0;0;2152;0;0;0;2061;0
Pyrola minor;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pyrola rotundifolia;0;0;0;0;0;2096;0;0;0;0;0;0;0;0
Ranunculus acris;0;0;0;0;0;0;0;0;0;0;1867;1206;0;0
Ranunculus alpestris;0;1704;2122;2190;2410;2096;1823;1825;2152;2210;0;0;2061;0
Ranunculus glacialis;2452;0;0;2500;2410;0;0;0;0;2210;0;0;0;0
Ranunculus oreophilus;0;1704;0;0;0;0;1823;0;2152;0;0;1206;2061;0
Ranunculus platanifolius;0;0;0;1800;0;0;0;0;0;0;0;0;0;0
Ranunculus pseudomontanus;2397;0;2122;2500;2410;2096;0;1894;0;2210;0;0;0;2126
Ranunculus repens;0;0;0;0;0;0;0;0;0;0;1867;0;0;0
Ranunculus thora;0;1704;2122;0;0;0;1823;0;2152;0;0;0;2061;0
Rhodiola rosea;0;0;2122;1725;0;2096;1823;1894;2152;2210;0;0;2061;2126
Ribes alpinum;0;0;0;0;0;0;1823;0;0;0;0;0;0;0
Ribes petraeum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rosa pendulina;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Rubus caesius;1887;0;0;0;0;0;0;0;0;0;0;1206;0;0
Rubus idaeus;0;0;0;0;0;0;0;1894;0;0;1867;1206;0;0
Rumex acetosa;0;0;0;0;0;0;0;0;0;0;1867;0;0;0
Rumex alpestris;0;0;2122;0;0;0;0;0;0;0;1867;0;0;0
Rumex alpinus;0;0;0;1740;0;2096;0;0;0;0;0;0;0;0
Sagina procumbens;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sagina saginoides;0;0;0;0;0;2096;0;0;0;0;0;0;0;0
Salix alpina;2283;1704;2122;0;0;0;0;1894;2152;0;0;0;2061;0
